iter	Passed	Remaining
0	3	3828
1	7	3523
2	10	3441
3	12	3192
4	15	3082
5	18	3013
6	23	3273
7	25	3176
8	28	3169
9	31	3122
10	34	3110
11	37	3059
12	40	3091
13	43	3046
14	46	3022
15	48	3004
16	51	2966
17	54	2967
18	56	2934
19	60	2954
20	63	2953
21	66	2954
22	69	2931
23	72	2960
24	75	2952
25	78	2936
26	81	2946
27	84	2944
28	88	2952
29	91	2952
30	94	2944
31	96	2927
32	100	2951
33	103	2947
34	106	2940
35	110	2962
36	113	2952
37	116	2958
38	120	2975
39	123	2964
40	125	2945
41	129	2942
42	132	2946
43	135	2941
44	138	2935
45	140	2923
46	143	2915
47	146	2910
48	149	2897
49	152	2892
50	154	2880
51	157	2879
52	160	2868
53	163	2859
54	166	2856
55	169	2863
56	173	2864
57	175	2853
58	178	2851
59	181	2840
60	184	2833
61	186	2825
62	189	2822
63	192	2817
64	195	2807
65	198	2815
66	201	2806
67	204	2798
68	206	2786
69	209	2777
70	212	2775
71	214	2766
72	218	2770
73	220	2761
74	223	2758
75	226	2752
76	229	2747
77	232	2746
78	235	2748
79	238	2741
80	241	2737
81	243	2729
82	247	2732
83	250	2729
84	252	2721
85	255	2712
86	257	2703
87	261	2710
88	264	2705
89	266	2699
90	269	2693
91	272	2686
92	274	2679
93	277	2674
94	280	2672
95	283	2667
96	287	2671
97	289	2665
98	292	2661
99	295	2657
100	298	2656
101	301	2657
102	304	2648
103	306	2640
104	309	2637
105	312	2634
106	314	2627
107	317	2621
108	319	2613
109	322	2607
110	326	2617
111	329	2611
112	334	2621
113	337	2621
114	340	2616
115	342	2611
116	345	2606
117	347	2599
118	350	2597
119	353	2591
120	355	2585
121	358	2581
122	361	2575
123	364	2576
124	367	2573
125	370	2570
126	372	2562
127	375	2560
128	378	2557
129	380	2549
130	383	2545
131	386	2541
132	392	2559
133	394	2549
134	397	2547
135	400	2542
136	403	2541
137	406	2536
138	408	2532
139	411	2526
140	413	2521
141	416	2516
142	418	2510
143	421	2505
144	423	2499
145	427	2498
146	429	2494
147	432	2487
148	435	2486
149	440	2495
150	443	2492
151	445	2486
152	448	2483
153	451	2479
154	454	2475
155	456	2467
156	458	2461
157	460	2454
158	462	2445
159	465	2445
160	468	2438
161	470	2433
162	473	2429
163	475	2422
164	477	2414
165	480	2415
166	483	2411
167	485	2404
168	487	2398
169	490	2393
170	492	2389
171	495	2383
172	497	2377
173	499	2372
174	501	2364
175	504	2362
176	507	2360
177	510	2357
178	512	2351
179	514	2344
180	516	2337
181	518	2330
182	520	2323
183	522	2317
184	524	2310
185	526	2303
186	528	2296
187	530	2290
188	532	2282
189	534	2277
190	536	2271
191	538	2264
192	540	2261
193	542	2255
194	544	2249
195	547	2246
196	549	2239
197	551	2234
198	554	2229
199	556	2224
200	558	2218
201	560	2212
202	561	2206
203	564	2200
204	566	2195
205	568	2189
206	569	2182
207	571	2176
208	573	2171
209	576	2168
210	578	2161
211	580	2156
212	582	2151
213	584	2145
214	586	2139
215	587	2133
216	589	2128
217	591	2122
218	593	2118
219	596	2114
220	598	2110
221	601	2106
222	602	2100
223	604	2094
224	606	2089
225	608	2084
226	611	2081
227	613	2076
228	615	2070
229	616	2065
230	620	2064
231	622	2060
232	624	2055
233	626	2049
234	627	2044
