iter	Passed	Remaining
0	3	3606
1	6	3164
2	10	3352
3	13	3265
4	15	3164
5	18	3035
6	21	3113
7	25	3160
8	27	3076
9	30	3050
10	33	3048
11	37	3074
12	39	3026
13	43	3060
14	46	3046
15	49	3036
16	51	2996
17	55	3012
18	57	2972
19	61	2993
20	63	2959
21	66	2952
22	68	2925
23	72	2938
24	75	2926
25	78	2943
26	80	2917
27	84	2925
28	86	2911
29	89	2900
30	91	2874
31	95	2883
32	98	2873
33	101	2869
34	103	2856
35	106	2849
36	108	2836
37	112	2858
38	115	2840
39	118	2838
40	120	2821
41	123	2820
42	125	2803
43	129	2810
44	131	2800
45	135	2812
46	138	2800
47	141	2813
48	144	2804
49	147	2807
50	152	2842
51	155	2829
52	158	2830
53	161	2824
54	164	2822
55	166	2810
56	170	2817
57	173	2816
58	176	2812
59	179	2808
60	181	2799
61	185	2799
62	187	2793
63	190	2787
64	193	2781
65	196	2775
66	199	2781
67	203	2785
68	205	2774
69	209	2782
70	212	2776
71	215	2776
72	217	2765
73	220	2765
74	223	2754
75	226	2756
76	229	2749
77	232	2745
78	235	2747
79	238	2746
80	241	2738
81	244	2735
82	247	2734
83	250	2732
84	253	2723
85	255	2718
86	258	2711
87	261	2708
88	263	2699
89	266	2696
90	269	2689
91	272	2694
92	274	2681
93	278	2681
94	281	2677
95	284	2679
96	287	2675
97	289	2661
98	291	2654
99	294	2653
100	296	2641
101	300	2641
102	302	2634
103	305	2632
104	307	2624
105	311	2628
106	313	2616
107	316	2610
108	318	2603
109	320	2596
110	325	2605
111	328	2606
112	330	2595
113	333	2591
114	336	2586
115	338	2582
116	341	2576
117	344	2573
118	347	2569
119	350	2573
120	353	2567
121	356	2568
122	359	2562
123	362	2558
124	366	2562
125	368	2553
126	370	2547
127	374	2550
128	376	2539
129	380	2544
130	383	2540
131	386	2539
132	388	2533
133	391	2530
134	393	2521
135	396	2518
136	399	2513
137	402	2511
138	403	2501
139	406	2496
140	408	2490
141	412	2494
142	415	2489
143	417	2482
144	420	2478
145	422	2472
146	426	2472
147	428	2466
148	430	2460
149	434	2459
150	436	2453
151	438	2445
152	441	2444
153	443	2435
154	446	2435
155	448	2428
156	451	2425
157	453	2417
158	455	2409
159	458	2406
160	460	2398
161	463	2395
162	465	2388
163	467	2381
164	469	2377
165	471	2369
166	474	2364
167	476	2357
168	479	2356
169	481	2351
170	484	2347
171	486	2340
172	488	2334
173	490	2330
174	494	2328
175	496	2326
176	498	2319
177	501	2315
178	503	2309
179	506	2307
180	508	2300
181	510	2293
182	513	2292
183	515	2285
184	518	2283
185	521	2280
186	524	2281
187	527	2276
188	530	2277
189	534	2277
190	536	2273
191	539	2271
192	542	2268
193	544	2263
194	547	2258
195	549	2252
196	552	2250
197	554	2244
198	555	2237
199	558	2233
200	560	2228
201	563	2225
202	565	2218
203	569	2223
204	571	2216
205	574	2212
206	576	2209
207	579	2207
208	581	2202
209	584	2198
210	586	2193
211	588	2187
212	590	2183
213	592	2177
214	595	2175
215	597	2169
216	599	2163
217	601	2158
218	604	2154
219	606	2152
220	610	2151
221	613	2149
222	617	2151
223	619	2147
224	623	2146
225	625	2143
226	629	2143
227	632	2141
228	635	2138
229	637	2134
230	643	2140
231	646	2139
232	648	2136
233	652	2136
234	658	2142
235	660	2137
236	662	2133
237	665	2129
238	670	2135
239	673	2134
240	676	2130
241	681	2133
242	683	2129
243	686	2127
244	689	2123
245	691	2120
246	695	2119
247	698	2118
248	704	2125
249	710	2130
250	713	2128
251	716	2127
252	720	2128
253	723	2125
254	727	2124
255	730	2121
256	733	2120
257	737	2120
258	740	2117
259	743	2116
260	747	2116
261	752	2119
262	755	2117
263	760	2120
264	765	2122
265	767	2117
266	771	2116
267	773	2112
268	776	2111
269	779	2106
270	782	2103
271	784	2098
272	787	2095
273	789	2090
274	791	2085
275	793	2082
276	795	2077
277	798	2074
278	802	2073
279	806	2073
280	810	2074
281	814	2074
282	818	2072
283	821	2070
284	823	2065
285	825	2061
286	828	2057
287	831	2056
288	834	2052
289	836	2048
290	839	2044
291	840	2039
292	844	2037
293	846	2032
294	848	2028
295	851	2025
296	854	2021
297	856	2017
298	859	2014
299	861	2009
300	863	2004
301	866	2002
302	869	1999
303	871	1994
304	873	1989
305	875	1986
306	878	1982
307	881	1980
308	883	1976
309	886	1973
310	888	1968
311	891	1966
312	893	1962
313	895	1957
314	898	1953
315	900	1948
316	902	1944
317	904	1940
318	906	1935
319	909	1931
320	911	1927
321	913	1923
322	915	1919
323	918	1916
324	920	1912
325	922	1907
326	924	1903
327	926	1898
328	928	1894
329	931	1890
330	933	1886
331	935	1883
332	937	1878
